ID,name,email,rating
19558439,Tech Supplies Inc,contact@techsupplies.com,4
19558440,Global Electronics,sales@globalelectronics.com,5
19558441,Quality Goods Ltd,info@qualitygoods.com,3
19558442,Premium Distributors,support@premiumdist.com,4
19558443,Reliable Wholesale,orders@reliablewholesale.com,2
19558444,Best Value Corp,hello@bestvaluecorp.com,5
19558445,Metro Trading Co,contact@metrotrading.com,3
19558446,Express Supply Chain,info@expresssupply.com,4
19558447,International Imports,sales@intlimports.com,3
19558448,Local Vendors Inc,support@localvendors.com,4
