ID,name,price,category,externalRating,averageRating,supplier_ID
30283773,Wireless Mouse,29.99,electronics,4.5,4.2,10185432
30283774,USB Keyboard,49.99,electronics,4.3,4.0,10185432
30283775,Gold Necklace,299.99,jewelery,3.8,3.5,10185432
30283776,Silver Bracelet,89.99,jewelery,4.2,4.1,10185432
30283777,Men's T-Shirt,24.99,men's clothing,4.2,4.0,10185432
30283778,Women's Dress,59.99,women's clothing,4.7,4.5,10185432
30283779,Bluetooth Headphones,79.99,electronics,4.5,4.3,10185432
30283780,Smart Watch,199.99,electronics,4.6,4.4,10185432
30283781,Leather Wallet,39.99,men's clothing,4.1,4.0,10185432
30283782,Silk Scarf,34.99,women's clothing,4.4,4.2,10185432
