ID,name,email,rating
10185423,Tech Supplies Inc,contact@techsupplies.com,4
10185424,Global Electronics,sales@globalelectronics.com,5
10185425,Quality Goods Ltd,info@qualitygoods.com,3
10185426,Premium Distributors,support@premiumdist.com,4
10185427,Reliable Wholesale,orders@reliablewholesale.com,2
10185428,Best Value Corp,hello@bestvaluecorp.com,5
10185429,Metro Trading Co,contact@metrotrading.com,3
10185430,Express Supply Chain,info@expresssupply.com,4
10185431,International Imports,sales@intlimports.com,3
10185432,Local Vendors Inc,support@localvendors.com,4
